Checkout_Kiosk_Coordinates,Total_Trips,Wt_Average_Duration,Wt_Average_Bicycling_google_maps,Wt_Average_Transit_google_maps,BT_divided_by_TT
19th & Douglas (ORBT),943.0,6.269353128313892,6.135489572287027,10.078455284552845,0.6220549629190567
16th & Douglas,2600.0,8.787692307692307,8.60498717948718,13.085929487179486,0.6715374950095645
14th & Douglas,2761.0,7.426294820717131,8.292068091271279,12.428280816129421,0.5975319459373083
13th & Dodge,807.0,8.324659231722428,8.299524989673689,16.103490293267246,0.5169475113853367
62nd & Dodge,419.0,9.22434367541766,8.075974542561655,16.333929992044553,0.5647351053855613
20th & Dodge,1413.0,10.337579617834395,10.219804199103562,15.813753243689549,0.6537081651985173
24th & Dodge,85.0,10.141176470588235,9.123333333333333,13.426274509803921,0.7553231883634665
72nd & Dodge,208.0,14.322115384615385,14.64559294871795,16.557692307692307,0.8649825783972126
77th & Dodge,297.0,22.962962962962962,22.866947250280585,22.74523007856341,1.0095726833119512
49th & Dodge,572.0,12.777972027972028,12.610780885780885,18.997348484848484,0.672618709824859
46th & Dodge,1.0,21.0,45.06666666666667,46.9,0.44776119402985076
11th and Capitol,2000.0,9.479,9.007158333333333,14.920608333333334,0.6352958128941346
FIRST AVE Trail,176.0,20.897727272727273,16.675189393939394,33.63248106060606,0.6213555055622975
zzz Broadway & Main,11.0,21.181818181818183,30.681818181818183,47.42272727272728,0.446659637688105
Kiewit Luminarium,233.0,12.274678111587983,10.279041487839772,20.70293276108727,0.5928956178932857
12th & Davenport,399.0,10.06766917293233,8.438930659983292,15.055346700083541,0.6687105500450856
1st St & Broadway,2782.0,18.315959741193385,27.798400431344355,32.960142583273424,0.555700258119889
Lewis & Clark Landing,930.0,15.41720430107527,12.53431899641577,22.140394265232974,0.6963382908354474
10th & Cass,1108.0,12.267148014440433,11.312123947051745,21.488853790613717,0.5708609744368355
Tom Hanafan Park,2203.0,16.921470721743077,13.498320472083522,33.52628234226055,0.5047225501770957
19th & California,915.0,11.347540983606557,10.446193078324226,17.175646630236795,0.6606762020609941
33rd & California,2855.0,13.117338003502628,12.574279042615295,20.518902510215995,0.6392806826277253
29th & California (The Atlas),142.0,14.06338028169014,13.604342723004695,20.58732394366197,0.6831087090374222
50th & Underwood,1343.0,18.39687267311988,15.93866964507322,28.647617274758005,0.6421781084505669
10th & Fahey,383.0,12.639686684073107,9.797040905134901,23.013402959094865,0.5492315372280883
Bob Kerrey Pedestrian Bridge,2568.0,17.5845015576324,14.42244937694704,29.12166407061267,0.6038288716947778
Shop HQ/Event,192.0,26.536458333333332,20.624913194444442,20.23862847222222,1.3111786883066194
14th & Fahey,1595.0,10.951097178683385,10.68544409613375,17.558244514106583,0.6237011433509252
23rd & Cuming,1218.0,10.758620689655173,9.902093596059114,14.86651614668856,0.7236813644501102
1516 Cuming St,1912.0,11.532426778242678,12.745597977684797,18.75645048814505,0.6148512366735759
13th & Nicholas,688.0,11.158430232558139,10.69016472868217,17.040140503875968,0.654832055523253
4/20 Event (Gray) 1.0,113.0,33.982300884955755,30.202507374631267,37.38731563421829,0.9089259367381237
40th & Hamilton,269.0,15.41635687732342,13.021065675340768,20.920508054522926,0.7369016487145238
30th & Patrick,458.0,13.069868995633188,11.34425036390102,19.899126637554584,0.6568061620838729
24th & Lake,1007.0,15.493545183714001,14.581363786825555,24.036626944720293,0.6445806734591435
63rd & Maple,882.0,24.656462585034014,25.81984126984127,27.640268329554043,0.8920485970344351
60th & Maple,798.0,23.69172932330827,22.508876357560567,32.49914369256474,0.728995494386781
24th & Wirt St,339.0,16.24188790560472,14.454178957718781,20.737413962635202,0.7832166505847572
NOTC 31st Ave & Taylor,62.0,22.725806451612904,20.186559139784944,25.692741935483873,0.8845224269437207
MCC Fort Bookstore N 32nd St,312.0,22.455128205128204,21.800267094017094,27.852457264957266,0.806217131634567
MCC North 30th St,14.0,10.642857142857142,9.902380952380952,17.266666666666666,0.6163816878102593
Miller Park,30.0,33.833333333333336,29.39888888888889,38.095,0.8881305508159427
