user_id,city,trip_ct,is_winter,is_night,one_way,duration
291,OMA,1,1.0,0.0,1.0,49.0
292,OMA,3,1.0,0.0,1.0,51.0
293,OMA,31,0.12903225806451613,0.2903225806451613,0.9032258064516129,37.483870967741936
294,OMA,1,1.0,0.0,1.0,35.0
297,OMA,1,1.0,1.0,1.0,31.0
300,OMA,1,1.0,1.0,1.0,28.0
301,OMA,1,1.0,0.0,1.0,57.0
303,OMA,1,0.0,0.0,1.0,23.0
304,OMA,1,0.0,0.0,1.0,44.0
305,OMA,1,0.0,0.0,1.0,45.0
306,OMA,8,0.0,0.0,0.0,37.25
308,OMA,1,0.0,0.0,1.0,83.0
309,OMA,2,0.0,0.0,1.0,66.5
311,OMA,1,0.0,0.0,1.0,44.0
312,OMA,3,0.0,0.0,1.0,51.333333333333336
315,OMA,3,0.0,0.3333333333333333,1.0,20.0
316,OMA,2,0.0,1.0,0.5,32.5
317,OMA,2,0.0,0.0,1.0,68.5
319,OMA,50,0.0,0.66,0.58,36.06
321,OMA,4,0.0,0.0,0.0,32.25
323,OMA,7,0.0,0.0,0.14285714285714285,55.142857142857146
324,OMA,2,0.0,0.0,1.0,4.0
327,OMA,6,0.0,0.0,0.0,23.166666666666668
328,OMA,2,0.0,0.0,1.0,52.5
330,OMA,3,0.0,0.0,1.0,65.66666666666667
333,OMA,1,0.0,0.0,1.0,46.0
336,OMA,1,0.0,0.0,1.0,8.0
337,OMA,2,0.0,1.0,1.0,21.0
338,OMA,2,0.0,0.0,0.5,10.5
339,OMA,1,0.0,0.0,1.0,37.0
340,OMA,1,0.0,0.0,1.0,81.0
341,OMA,1,0.0,1.0,1.0,5.0
342,OMA,3,0.0,1.0,1.0,76.0
347,OMA,2,0.0,0.0,1.0,42.5
349,OMA,1,0.0,1.0,1.0,14.0
350,OMA,1,0.0,1.0,1.0,16.0
351,OMA,1,0.0,0.0,1.0,30.0
352,OMA,4,0.0,0.0,1.0,71.75
355,OMA,3,0.0,0.0,1.0,72.33333333333333
358,OMA,4,0.0,0.0,1.0,40.25
359,OMA,3,0.0,0.0,1.0,59.666666666666664
362,OMA,1,1.0,0.0,1.0,40.0
363,OMA,47,0.14893617021276595,0.3191489361702128,0.574468085106383,37.42553191489362
365,OMA,15,0.0,0.0,0.3333333333333333,29.933333333333334
366,OMA,1,0.0,0.0,1.0,24.0
369,OMA,1,0.0,0.0,1.0,65.0
370,OMA,1,0.0,0.0,1.0,67.0
371,OMA,8,0.0,0.0,0.25,38.75
373,OMA,2,0.0,0.0,1.0,78.0
376,OMA,2,0.0,0.0,1.0,87.5
378,OMA,1,0.0,0.0,1.0,52.0
379,OMA,1,0.0,0.0,1.0,54.0
380,OMA,2,0.0,0.0,1.0,52.5
384,OMA,1,0.0,0.0,1.0,82.0
385,OMA,2,0.0,0.0,1.0,54.5
387,OMA,1,0.0,0.0,1.0,46.0
388,OMA,1,0.0,0.0,1.0,46.0
389,OMA,1,0.0,0.0,1.0,46.0
391,OMA,8,0.0,0.25,0.5,41.25
392,OMA,6,0.0,0.0,1.0,45.5
393,OMA,1,0.0,0.0,1.0,76.0
394,OMA,7,0.14285714285714285,0.0,0.5714285714285714,49.0
395,OMA,1,0.0,0.0,1.0,25.0
396,OMA,3,0.0,0.0,1.0,86.0
398,OMA,1,0.0,0.0,1.0,51.0
399,OMA,1,0.0,0.0,1.0,46.0
401,OMA,2,0.0,1.0,1.0,48.5
404,OMA,1,0.0,0.0,1.0,31.0
405,OMA,1,0.0,0.0,1.0,31.0
406,OMA,1,0.0,0.0,1.0,33.0
407,OMA,1,0.0,0.0,1.0,28.0
408,OMA,1,0.0,0.0,1.0,32.0
410,OMA,1,0.0,0.0,1.0,28.0
412,OMA,2,0.0,0.0,1.0,56.0
414,OMA,1,0.0,0.0,1.0,30.0
415,OMA,6,0.0,0.0,1.0,68.5
418,OMA,1,0.0,0.0,1.0,38.0
420,OMA,5,0.0,0.0,1.0,50.2
421,OMA,1,0.0,0.0,1.0,47.0
422,OMA,7,0.0,0.0,1.0,44.714285714285715
424,OMA,1,0.0,0.0,1.0,39.0
428,OMA,1,0.0,0.0,1.0,35.0
430,OMA,1,0.0,0.0,1.0,16.0
434,OMA,3,0.6666666666666666,0.6666666666666666,1.0,30.0
435,OMA,1,0.0,0.0,1.0,47.0
436,OMA,1,0.0,0.0,1.0,38.0
437,OMA,2,0.0,0.0,1.0,12.5
439,OMA,1,0.0,0.0,1.0,67.0
440,OMA,1,0.0,0.0,1.0,35.0
441,OMA,1,0.0,0.0,1.0,37.0
442,OMA,2,0.0,0.0,1.0,47.5
444,OMA,1,0.0,0.0,1.0,29.0
447,OMA,2,0.0,0.0,1.0,94.5
449,OMA,2,0.0,0.5,1.0,23.5
450,OMA,7,0.0,0.0,0.14285714285714285,38.857142857142854
451,OMA,1,0.0,0.0,1.0,80.0
452,OMA,3,0.0,0.0,1.0,83.0
454,OMA,1,0.0,0.0,1.0,91.0
456,OMA,4,0.0,0.0,1.0,51.0
458,OMA,1,0.0,0.0,1.0,2.0
462,OMA,4,0.0,0.25,0.75,72.25
463,OMA,1,0.0,0.0,1.0,68.0
464,OMA,1,0.0,0.0,1.0,70.0
465,OMA,1,0.0,0.0,1.0,32.0
468,OMA,2,0.0,0.0,1.0,62.0
470,OMA,3,0.0,0.0,1.0,65.66666666666667
472,OMA,2,0.5,0.0,0.5,61.0
473,OMA,5,0.4,0.0,0.2,44.8
474,OMA,1,0.0,0.0,1.0,64.0
476,OMA,2,0.5,0.0,0.5,11.5
477,OMA,1,1.0,0.0,1.0,54.0
478,OMA,2,1.0,0.0,1.0,28.0
480,OMA,2,0.5,0.5,1.0,20.5
483,OMA,3,1.0,0.0,1.0,42.333333333333336
485,OMA,2,1.0,0.0,1.0,42.0
489,OMA,1,1.0,0.0,1.0,49.0
490,OMA,3,1.0,0.0,1.0,90.0
493,OMA,1,1.0,0.0,1.0,93.0
494,OMA,3,1.0,0.0,1.0,95.0
497,OMA,1,0.0,1.0,0.0,84.0
499,OMA,3,0.0,0.0,1.0,52.333333333333336
503,OMA,1,0.0,0.0,0.0,26.0
504,OMA,1,0.0,0.0,1.0,34.0
505,OMA,1,0.0,0.0,1.0,77.0
506,OMA,1,0.0,1.0,1.0,40.0
507,OMA,1,0.0,1.0,1.0,42.0
508,OMA,3,0.0,0.0,0.3333333333333333,37.666666666666664
509,OMA,3,0.0,0.0,0.6666666666666666,31.666666666666668
511,OMA,1,0.0,0.0,1.0,38.0
513,OMA,4,0.5,0.0,1.0,53.75
515,OMA,4,0.0,0.0,1.0,61.0
516,OMA,1,0.0,0.0,1.0,96.0
520,OMA,11,0.0,0.8181818181818182,0.5454545454545454,52.27272727272727
521,OMA,1,0.0,1.0,1.0,27.0
524,OMA,1,0.0,0.0,1.0,69.0
527,OMA,1,0.0,0.0,1.0,63.0
528,OMA,1,0.0,0.0,1.0,64.0
530,OMA,1,0.0,0.0,1.0,60.0
531,OMA,1,0.0,0.0,1.0,62.0
534,OMA,2,0.0,0.0,1.0,66.0
538,OMA,1,0.0,0.0,1.0,78.0
539,OMA,1,0.0,0.0,1.0,80.0
